Ball,Brand,Core,Coverstock,Differential,RG,Hook
Destiny Solid Magenta,Ebonite,Symmetric,Solid,0.053,2.53,193.99999999999997
The Sauce,Hammer,Symmetric,Solid,0.049,2.47,192.00000000000003
Vibe Orange,Hammer,Symmetric,Solid,0.042,2.51,202.99999999999997
Hustle Au,Roto Grip,Symmetric,Pearl,0.03,2.53,225.99999999999997
Rhino Charcoal/Silver/Violet Pearl,Brunswick,Symmetric,Pearl,0.03,2.524,225.4
Rhino Metallic Blue/Black Pearl,Brunswick,Symmetric,Pearl,0.03,2.524,225.4
Turmoil 2 Pearl,DV8,Symmetric,Pearl,0.043,2.53,212.99999999999997
Turmoil 2 Solid,DV8,Symmetric,Solid,0.043,2.528,203.8
Twist Neon Green/Black,Brunswick,Symmetric,Pearl,0.018000000000000002,2.591,244.10000000000002
Twist Red/White/Blue,Brunswick,Symmetric,Pearl,0.018000000000000002,2.591,244.10000000000002
Tropical Surge Black/Cherry Hybrid,Storm,Symmetric,Hybrid,0.024,2.58,231.0
Tropical Surge Carbon/Chrome,Storm,Symmetric,Pearl,0.024,2.58,237.0
Tropical Surge Pink/Purple,Storm,Symmetric,Pearl,0.024,2.58,237.0
Tropical Surge Teal/Blue,Storm,Symmetric,Pearl,0.024,2.58,237.0
Tropical Surge Violet/Charcoal,Storm,Symmetric,Pearl,0.024,2.58,237.0
Match Up Black/Red/Blue Hybrid,Storm,Symmetric,Hybrid,0.035,2.57,219.0
Super Soniq,Storm,Symmetric,Hybrid,0.047,2.47,197.00000000000003
Mix Blue/Silver,Storm,Symmetric,Urethane,0.006,2.69,269.0
Choice Pearl,Ebonite,Asymmetric,Pearl,0.054000000000000006,2.49,198.00000000000003
Cutting Edge Pearl 16 Only,Brunswick,Symmetric,Pearl,0.039,2.521,216.1
Villain Scorn Limited Availability,Motiv,Asymmetric,Pearl,0.051,2.54,206.0
Path Rising Red/White/Blue Pearl NEW ITEM,Pyramid,Symmetric,Pearl,0.032,2.54,225.0
Path Rising Shamrock Green Sparkle Pearl NEW COLOR,Pyramid,Symmetric,Pearl,0.032,2.54,225.0
Paradox V 15 Only,Track,Asymmetric,Pearl,0.057,2.48,194.0
Rip'd Pearl,Hammer,Asymmetric,Pearl,0.054000000000000006,2.48,197.0
Force Pearl,Pyramid,Asymmetric,Pearl,0.051,2.53,204.99999999999997
After Dark Pearl,900 Global,Symmetric,Pearl,0.03,2.56,229.0
Pathogen Limited Run,Pyramid,Symmetric,Solid,0.032,2.54,216.0
Saber Pearl 15 16 Only,Columbia 300,Asymmetric,Pearl,0.054000000000000006,2.5,199.0
Twist Black/Gold/Silver,Brunswick,Symmetric,Pearl,0.018000000000000002,2.591,244.10000000000002
Twist Blue/Silver,Brunswick,Symmetric,Pearl,0.018000000000000002,2.591,244.10000000000002
Twist Red/Purple,Brunswick,Symmetric,Pearl,0.018000000000000002,2.591,244.10000000000002
Twist Sky Blue/Pink/Snow,Brunswick,Symmetric,Pearl,0.018000000000000002,2.591,244.10000000000002
Match Up Black Pearl,Storm,Symmetric,Pearl,0.035,2.57,225.0
Mix Purple/Silver,Storm,Symmetric,Urethane,0.006,2.69,269.0
Primal Rage 5-Year Anniversary LE 12 - 16 Only,Motiv,Symmetric,Pearl,0.05,2.55,207.99999999999997
Turmoil Solid,DV8,Symmetric,Solid,0.042,2.528,204.8
Rhino Cobalt/Aqua/Teal Pearl,Brunswick,Symmetric,Pearl,0.03,2.524,225.4
Pathogen Plague Urethane Available 10-16,Pyramid,Symmetric,Urethane,0.032,2.54,228.0
Blood Moon Rising,Pyramid,Asymmetric,Hybrid,0.039,2.48,206.0
Mix Royal/Cherry,Storm,Symmetric,Urethane,0.006,2.69,269.0
Mix Blackout,Storm,Symmetric,Urethane,0.006,2.69,269.0
The Real One 15 Only Ltd Edition,Ebonite,Symmetric,Hybrid,0.055999999999999994,2.46,187.0
Hustle INK Solid,Roto Grip,Symmetric,Solid,0.03,2.53,216.99999999999997
Rhino Black/Green/Orange Pearl,Brunswick,Symmetric,Pearl,0.03,2.524,225.4
Pathogen X,Pyramid,Symmetric,Pearl,0.032,2.54,225.0
Antidote,Pyramid,Symmetric,Solid,0.054000000000000006,2.55,194.99999999999997
Curse,Pyramid,Symmetric,Solid,0.055,2.49,188.00000000000003
Force,Pyramid,Asymmetric,Solid,0.051,2.53,195.99999999999997
Path Rising Aqua/Silver Pearl,Pyramid,Symmetric,Pearl,0.032,2.54,225.0
Rhino Purple/Pink/White Pearl,Brunswick,Symmetric,Pearl,0.03,2.524,225.4
Rhino Red/Black/Gold Pearl,Brunswick,Symmetric,Pearl,0.03,2.524,225.4
Path Rising Blue/Dark Blue Pearl,Pyramid,Symmetric,Pearl,0.032,2.54,225.0
Mix Black/White,Storm,Symmetric,Urethane,0.006,2.69,269.0
Boost Blue/Black Hybrid,900 Global,Symmetric,Hybrid,0.043,2.54,208.0
Pitch Black,Storm,Symmetric,Urethane,0.022000000000000002,2.57,241.0
Path Rising Black/Hot Pink Pearl,Pyramid,Symmetric,Pearl,0.032,2.54,225.0
Path Rising Black/Silver Pearl,Pyramid,Symmetric,Pearl,0.032,2.54,225.0
Path Rising Purple/Steel Blue Pearl,Pyramid,Symmetric,Pearl,0.032,2.54,225.0
Hy-Road Pearl,Storm,Symmetric,Pearl,0.046,2.57,214.0
Hy-Road,Storm,Symmetric,Hybrid,0.046,2.57,208.0
Pivot Assault - Overseas Release 15 Only,Ebonite,Asymmetric,Solid,0.049,2.48,193.0
