Ball,Brand,Core,Coverstock,Differential,RG,Hook
Tropical Surge Carbon/Chrome,Storm,Symmetric,Pearl,0.024,2.58,237
Tropical Surge Pink/Black,Storm,Symmetric,Pearl,0.024,2.58,237
Tropical Surge Pink/Purple,Storm,Symmetric,Pearl,0.024,2.58,237
Tropical Surge Teal/Blue,Storm,Symmetric,Pearl,0.024,2.58,237
Tropical Surge Violet/Charcoal,Storm,Symmetric,Pearl,0.024,2.58,237
Tropical Surge Yellow/Black,Storm,Symmetric,Pearl,0.024,2.58,237
Heat Lava,Track,Symmetric,Pearl,0.038,2.5,215
Kinetic Platinum,Track,Asymmetric,Pearl,0.04,2.48,211
Latitude Pearl,Track,Symmetric,Pearl,0.045,2.511,209.1
Paradox V,Track,Asymmetric,Pearl,0.057,2.48,194
Proof Hybrid,Track,Asymmetric,Hybrid,0.052,2.519,196.9
Proof Pearl,Track,Asymmetric,Pearl,0.052,2.519,202.9
Strata,Track,Asymmetric,Solid,0.05,2.475,191.5
Tempo,Track,Symmetric,Pearl,0.038,2.56,221
